#                                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
17074at4891_6|ptg000008l:609575-610285   -            237 11696at4891          -            390   1.5e-06   24.8   2.3   1   3    0.0046      0.21    7.9   0.1   228   328    10   107     2   113 0.74 -
17074at4891_6|ptg000008l:609575-610285   -            237 11696at4891          -            390   1.5e-06   24.8   2.3   2   3   3.3e-06   0.00015   18.3   0.2   226   331    48   155    44   165 0.78 -
17074at4891_6|ptg000008l:609575-610285   -            237 11696at4891          -            390   1.5e-06   24.8   2.3   3   3   7.8e-05    0.0035   13.7   0.4   212   328   119   237   116   237 0.75 -
16921at4891_7|ptg000002l:236728-237624   -            299 11696at4891          -            390   1.7e-06   24.7   0.6   1   2   1.5e-05   0.00069   16.1   0.2   198   329    25   152    10   157 0.81 -
16921at4891_7|ptg000002l:236728-237624   -            299 11696at4891          -            390   1.7e-06   24.7   0.6   2   2     0.008      0.36    7.1   0.0   196   244   155   203   152   215 0.88 -
1653at4891_4|ptg000008l:850268-852322    -            685 11696at4891          -            390   1.6e-05   21.4   0.2   1   1   9.1e-07   4.2e-05   20.1   0.1   226   331     9   115     3   123 0.82 -
12947at4891_2|ptg000012l:72001-73275     -            425 11696at4891          -            390   2.6e-05   20.8   1.1   1   3     0.067         3    4.1   0.0   116   164    21    68    13    73 0.82 -
12947at4891_2|ptg000012l:72001-73275     -            425 11696at4891          -            390   2.6e-05   20.8   1.1   2   3   0.00019    0.0087   12.4   0.0   272   331    39   102    32   112 0.80 -
12947at4891_2|ptg000012l:72001-73275     -            425 11696at4891          -            390   2.6e-05   20.8   1.1   3   3     0.048       2.2    4.5   1.1   138   331   132   343   124   365 0.68 -
17077at4891_6|ptg000001l:154292-154936   -            215 11696at4891          -            390   4.4e-05   20.0   0.2   1   2   2.9e-05    0.0013   15.1   0.1   231   333    20   121     7   133 0.69 -
17077at4891_6|ptg000001l:154292-154936   -            215 11696at4891          -            390   4.4e-05   20.0   0.2   2   2      0.16       7.2    2.8   0.0   305   331   156   182   148   187 0.78 -
2368at4891_2|ptg000013l:468770-471571    -            934 11696at4891          -            390   4.5e-05   20.0   1.7   1   2   0.00046     0.021   11.2   0.1   215   326   411   522   402   530 0.82 -
2368at4891_2|ptg000013l:468770-471571    -            934 11696at4891          -            390   4.5e-05   20.0   1.7   2   2    0.0033      0.15    8.4   0.1   231   331   513   610   509   622 0.76 -
14374at4891_2|ptg000008l:788546-789586   -            347 11696at4891          -            390   5.6e-05   19.7   2.5   1   2   0.00095     0.043   10.1   0.2   295   330    50    86    24   101 0.84 -
14374at4891_2|ptg000008l:788546-789586   -            347 11696at4891          -            390   5.6e-05   19.7   2.5   2   2    0.0062      0.28    7.5   0.1   218   255   307   344   297   347 0.80 -
14677at4891_4|ptg000005l:1329188-1330753 -            522 11696at4891          -            390   0.00011   18.6   0.0   1   4      0.83        37    0.5   0.0   274   297   202   225   177   277 0.71 -
14677at4891_4|ptg000005l:1329188-1330753 -            522 11696at4891          -            390   0.00011   18.6   0.0   2   4   0.00033     0.015   11.6   0.0   215   330   289   419   242   421 0.72 -
14677at4891_4|ptg000005l:1329188-1330753 -            522 11696at4891          -            390   0.00011   18.6   0.0   3   4      0.06       2.7    4.2   0.0   211   252   386   427   380   440 0.84 -
14677at4891_4|ptg000005l:1329188-1330753 -            522 11696at4891          -            390   0.00011   18.6   0.0   4   4       6.6     3e+02   -2.5   0.0   217   248   446   477   428   510 0.64 -
10649at4891_2|ptg000004l:230996-232786   -            597 11696at4891          -            390   0.00019   17.9   7.8   1   3      0.32        14    1.8   0.0   259   289   171   201   158   216 0.88 -
10649at4891_2|ptg000004l:230996-232786   -            597 11696at4891          -            390   0.00019   17.9   7.8   2   3      0.14       6.2    3.0   0.0   261   319   305   363   265   398 0.82 -
10649at4891_2|ptg000004l:230996-232786   -            597 11696at4891          -            390   0.00019   17.9   7.8   3   3   1.4e-05   0.00062   16.2   0.0   212   258   410   455   405   552 0.69 -
33087at4891_2|ptg000008l:1017853-1019040 -            396 11696at4891          -            390   0.00022   17.7   0.2   1   2     0.058       2.6    4.3   0.0   224   246    23    45     3    98 0.85 -
33087at4891_2|ptg000008l:1017853-1019040 -            396 11696at4891          -            390   0.00022   17.7   0.2   2   2   0.00068     0.031   10.6   0.1   218   261   294   337   191   348 0.66 -
20201at4891_5|ptg000007l:442942-443886   -            315 11696at4891          -            390   0.00038   16.9   0.9   1   3       1.3        61   -0.2   0.0   231   244     2    15     1    36 0.79 -
20201at4891_5|ptg000007l:442942-443886   -            315 11696at4891          -            390   0.00038   16.9   0.9   2   3   0.00011     0.005   13.2   0.2   260   331    92   162    83   182 0.83 -
20201at4891_5|ptg000007l:442942-443886   -            315 11696at4891          -            390   0.00038   16.9   0.9   3   3       1.4        64   -0.3   0.0   139   165   259   286   198   301 0.69 -
16921at4891_6|ptg000016l:181899-182717   -            273 11696at4891          -            390   0.00042   16.7   7.3   1   2   0.00029     0.013   11.8   1.0   232   331    41   135    28   142 0.84 -
16921at4891_6|ptg000016l:181899-182717   -            273 11696at4891          -            390   0.00042   16.7   7.3   2   2    0.0045      0.21    7.9   0.3   230   289   209   264   201   271 0.54 -
17712at4891_2|ptg000007l:63625-65004     -            460 11696at4891          -            390   0.00055   16.4   1.1   1   3   0.00019    0.0086   12.5   0.0   208   287     9    99     3   108 0.69 -
17712at4891_2|ptg000007l:63625-65004     -            460 11696at4891          -            390   0.00055   16.4   1.1   2   3      0.49        22    1.2   0.0   217   245   147   175   129   216 0.75 -
17712at4891_2|ptg000007l:63625-65004     -            460 11696at4891          -            390   0.00055   16.4   1.1   3   3       3.1   1.4e+02   -1.4   0.0   218   239   376   397   346   410 0.73 -
10099at4891_3|ptg000011l:404260-405939   -            560 11696at4891          -            390   0.00091   15.7   0.3   1   1     4e-05    0.0018   14.7   0.1   229   282   159   211   150   225 0.77 -
21297at4891_1|ptg000011l:380611-381618   -            336 11696at4891          -            390     0.002   14.6   0.1   1   2       2.3   1.1e+02   -1.0   0.0   273   338   113   184    99   206 0.72 -
21297at4891_1|ptg000011l:380611-381618   -            336 11696at4891          -            390     0.002   14.6   0.1   2   2   0.00021    0.0094   12.3   0.0   215   272   250   306   228   324 0.62 -
16921at4891_0|ptg000008l:611070-611840   -            257 11696at4891          -            390    0.0029   14.0   0.1   1   2    0.0048      0.22    7.8   0.0   261   332    74   145    41   193 0.54 -
